film_oscar_award_id,year,film_id,oscar_award_type_id,oscar_award_category_id
1,1934,1,2,6
2,1934,1,1,7
3,1934,1,2,10
4,1934,1,2,15
5,1934,2,1,10
6,1934,3,2,6
7,1934,3,2,15
8,1934,4,2,13
9,1934,5,2,6
10,1934,6,2,17
11,1934,7,2,6
12,1934,7,2,15
13,1934,8,1,1
14,1934,8,1,3
15,1934,8,1,6
16,1934,8,1,9
17,1934,8,1,17
18,1934,9,1,17
19,1934,10,2,3
20,1934,11,2,3
21,1934,11,2,6
22,1934,11,2,9
23,1934,11,2,10
24,1934,11,1,12
25,1934,11,1,15
26,1934,12,2,7
27,1934,13,2,13
28,1934,14,2,1
29,1934,14,2,5
30,1934,14,2,7
31,1934,14,2,15
32,1934,15,2,3
33,1934,15,2,6
34,1934,16,2,5
35,1934,16,2,6
36,1934,16,2,12
37,1934,16,1,13
38,1934,16,2,15
39,1934,17,2,6
40,1934,18,2,12
41,1934,19,1,5
42,1934,20,2,17
43,1934,21,2,1
44,1934,21,2,6
45,1934,21,2,9
46,1934,21,2,17
47,1934,22,2,6
48,1934,22,2,15
49,1934,23,2,6
50,1934,23,2,15
51,1934,23,2,17
52,1935,24,2,15
53,1935,25,2,6
54,1935,25,1,7
55,1935,25,1,10
56,1935,26,2,3
57,1935,26,2,6
58,1935,27,2,7
59,1935,28,2,3
60,1935,29,2,1
61,1935,30,2,15
62,1935,31,2,6
63,1935,31,2,17
64,1935,32,2,6
65,1935,32,2,9
66,1935,32,2,12
67,1935,32,2,15
68,1935,32,2,17
69,1935,33,1,3
70,1935,34,2,6
71,1935,34,2,10
72,1935,35,2,3
73,1935,36,2,17
74,1935,37,1,13
75,1935,38,2,15
76,1935,39,2,6
77,1935,39,2,7
78,1935,39,2,10
79,1935,40,2,15
80,1935,41,2,1
81,1935,41,1,6
82,1935,41,2,9
83,1935,41,2,10
84,1935,41,2,12
85,1935,41,2,17
86,1935,42,2,6
87,1935,42,1,15
88,1935,43,2,12
89,1935,44,2,3
90,1935,45,2,13
91,1935,46,2,6
92,1935,47,2,15
93,1935,48,2,7
94,1935,49,2,3
95,1935,49,1,5
96,1935,49,2,15
97,1935,50,2,17
98,1935,51,1,1
99,1935,51,2,6
100,1935,51,1,9
101,1935,51,2,10
102,1935,51,1,12
103,1935,51,1,17
104,1935,52,2,5
105,1935,52,2,6
106,1935,52,2,9
107,1935,52,2,10
108,1935,52,2,15
109,1935,52,2,17
110,1935,53,1,17
111,1935,54,2,5
112,1935,54,2,6
113,1935,54,2,13
114,1936,55,2,6
115,1936,55,2,10
116,1936,56,2,17
117,1936,57,1,4
118,1936,57,2,5
119,1936,57,2,6
120,1936,57,1,7
121,1936,57,1,10
122,1936,57,1,12
123,1936,58,2,15
124,1936,59,2,13
125,1936,60,1,2
126,1936,60,2,10
127,1936,61,2,1
128,1936,61,2,4
129,1936,61,1,5
130,1936,61,2,6
131,1936,61,2,9
132,1936,61,2,15
133,1936,61,2,17
134,1936,62,2,17
135,1936,63,2,15
136,1936,64,2,6
137,1936,65,2,5
138,1936,65,2,10
