"","Year","Best_Picture","Best_Editing","Best_Directing","Best_Actor","Best_Supporting_Actor","Best_Actress","Best_Supporting_Actress","Best_Sound","Best_Song"
"1",1934,"It Happened One Night","Eskimo","It Happened One Night "," It Happened One Night ",NA," It Happened One Night ",NA,"One Night of Love "," The Gay Divorcee "
"2",1935,"Mutiny on the Bounty","A Midsummer Night's Dream","The Informer "," The Informer ",NA," Dangerous ",NA,"Naughty Marietta "," Gold Diggers of 1935 "
"3",1936,"The Great Ziegfeld","Anthony Adverse","Mr. Deeds Goes to Town "," The Story of Louis Pasteur "," Come and Get It "," The Great Ziegfeld "," Anthony Adverse ","San Francisco "," Swing Time "
"4",1937,"The Life of Emile Zola","Lost Horizon","The Awful Truth "," Captains Courageous "," The Life of Emile Zola "," The Good Earth "," In Old Chicago ","The Hurricane "," Waikiki Wedding "
"5",1938,"You Can't Take It with You","The Adventures of Robin Hood","You Can't Take It with You "," Boys Town "," Kentucky "," Jezebel "," Jezebel ","The Cowboy and the Lady "," The Big Broadcast of 1938 "
"6",1939,"Gone with the Wind","Gone with the Wind","Gone with the Wind "," Goodbye, Mr. Chips "," Stagecoach "," Gone with the Wind "," Gone with the Wind ","When Tomorrow Comes "," The Wizard of Oz "
"7",1940,"Rebecca","North West Mounted Police","The Grapes of Wrath "," The Philadelphia Story "," The Westerner "," Kitty Foyle "," The Grapes of Wrath ","Strike Up the Band "," Pinocchio "
"8",1941,"How Green Was My Valley","Sergeant York","How Green Was My Valley "," Sergeant York "," How Green Was My Valley "," Suspicion "," The Great Lie ","That Hamilton Woman "," Lady Be Good "
"9",1942,"Mrs. Miniver","The Pride of the Yankees","Mrs. Miniver "," Yankee Doodle Dandy "," Johnny Eager "," Mrs. Miniver "," Mrs. Miniver ","Yankee Doodle Dandy "," Holiday Inn "
"10",1943,"Casablanca","Air Force","Casablanca "," Watch on the Rhine "," The More the Merrier "," The Song of Bernadette "," For Whom the Bell Tolls ","This Land Is Mine "," Hello, Frisco, Hello "
"11",1944,"Going My Way","Wilson","Going My Way "," Going My Way "," Going My Way "," Gaslight "," None but the Lonely Heart ","Wilson "," Going My Way "
"12",1945,"The Lost Weekend","National Velvet","The Lost Weekend "," The Lost Weekend "," A Tree Grows in Brooklyn "," Mildred Pierce "," National Velvet ","The Bells of St. Mary's "," State Fair "
"13",1946,"The Best Years of Our Lives","The Best Years of Our Lives","The Best Years of Our Lives "," The Best Years of Our Lives "," The Best Years of Our Lives "," To Each His Own "," The Razor's Edge ","The Jolson Story "," The Harvey Girls "
"14",1947,"Gentleman's Agreement","Body and Soul","Gentleman's Agreement "," A Double Life "," Miracle on 34th Street "," The Farmer's Daughter "," Gentleman's Agreement ","The Bishop's Wife "," Song of the South "
"15",1948,"Hamlet","The Naked City","The Treasure of the Sierra Madre "," Hamlet "," The Treasure of the Sierra Madre "," Johnny Belinda "," Key Largo ","The Snake Pit "," The Paleface "
"16",1949,"All the King's Men","Champion","A Letter to Three Wives "," All the King's Men "," Twelve O'Clock High "," The Heiress "," All the King's Men ","Twelve O'Clock High "," Neptune's Daughter "
"17",1950,"All about Eve","King Solomon's Mines","All about Eve "," Cyrano de Bergerac "," All about Eve "," Born Yesterday "," Harvey ","All about Eve "," Captain Carey, U.S.A. "
"18",1951,"An American in Paris","A Place in the Sun","A Place in the Sun "," The African Queen "," A Streetcar Named Desire "," A Streetcar Named Desire "," A Streetcar Named Desire ","The Great Caruso "," Here Comes the Groom "
"19",1952,"The Greatest Show on Earth","High Noon","The Quiet Man "," High Noon "," Viva Zapata! "," Come Back, Little Sheba "," The Bad and the Beautiful ","Breaking the Sound Barrier "," High Noon "
"20",1953,"From Here to Eternity","From Here to Eternity","From Here to Eternity "," Stalag 17 "," From Here to Eternity "," Roman Holiday "," From Here to Eternity ","From Here to Eternity "," Calamity Jane "
"21",1954,"On the Waterfront","On the Waterfront","On the Waterfront "," On the Waterfront "," The Barefoot Contessa "," The Country Girl "," On the Waterfront ","The Glenn Miller Story "," Three Coins in the Fountain "
"22",1955,"Marty","Picnic","Marty "," Marty "," Mister Roberts "," The Rose Tattoo "," East of Eden ","Oklahoma! "," Love Is a Many-Splendored Thing "
"23",1956,"Around the World in 80 Days","Around the World in 80 Days","Giant "," The King and I "," Lust for Life "," Anastasia "," Written on the Wind ","The King and I "," The Man Who Knew Too Much "
"24",1957,"The Bridge on the River Kwai","The Bridge on the River Kwai","The Bridge on the River Kwai "," The Bridge on the River Kwai "," Sayonara "," The Three Faces of Eve "," Sayonara ","Sayonara "," The Joker Is Wild "
"25",1958,"Gigi","Gigi","Gigi "," Separate Tables "," The Big Country "," I Want to Live! "," Separate Tables ","South Pacific "," Gigi "
"26",1959,"Ben-Hur","Ben-Hur","Ben-Hur "," Ben-Hur "," Ben-Hur "," Room at the Top "," The Diary of Anne Frank ","Ben-Hur "," A Hole in the Head "
"27",1960,"The Apartment","The Apartment","The Apartment "," Elmer Gantry "," Spartacus "," Butterfield 8 "," Elmer Gantry ","The Alamo "," Never on Sunday "
"28",1961,"West Side Story","West Side Story","West Side Story "," Judgment at Nuremberg "," West Side Story "," Two Women "," West Side Story ","West Side Story "," Breakfast at Tiffany's "
"29",1962,"Lawrence of Arabia","Lawrence of Arabia","Lawrence of Arabia "," To Kill a Mockingbird "," Sweet Bird of Youth "," The Miracle Worker "," The Miracle Worker ","Lawrence of Arabia "," Days of Wine and Roses "
"30",1963,"Tom Jones","How the West Was Won","Tom Jones "," Lilies of the Field "," Hud "," Hud "," The V.I.P.s ","How the West Was Won "," Papa's Delicate Condition "
"31",1964,"My Fair Lady","Mary Poppins","My Fair Lady "," My Fair Lady "," Topkapi "," Mary Poppins "," Zorba the Greek ","My Fair Lady "," Mary Poppins "
"32",1965,"The Sound of Music","The Sound of Music","The Sound of Music "," Cat Ballou "," A Thousand Clowns "," Darling "," A Patch of Blue ","The Sound of Music "," The Sandpiper "
"33",1966,"A Man for All Seasons","Grand Prix","A Man for All Seasons "," A Man for All Seasons "," The Fortune Cookie "," Who's Afraid of Virginia Woolf? "," Who's Afraid of Virginia Woolf? ","Grand Prix "," Born Free "
"34",1967,"In the Heat of the Night","In the Heat of the Night","The Graduate "," In the Heat of the Night "," Cool Hand Luke "," Guess Who's Coming to Dinner "," Bonnie and Clyde ","In the Heat of the Night "," Doctor Dolittle "
"35",1968,"Oliver!","Bullitt","Oliver! "," Charly "," The Subject Was Roses "," The Lion in Winter "," Rosemary's Baby ","Oliver! "," The Thomas Crown Affair "
