"","year","title"
"1","1934","Eskimo"
"2","1935","A Midsummer Night's Dream"
"3","1936","Anthony Adverse"
"4","1937","Lost Horizon"
"5","1938","The Adventures of Robin Hood"
"6","1939","Gone with the Wind"
"7","1940","North West Mounted Police"
"8","1941","Sergeant York"
"9","1942","The Pride of the Yankees"
"10","1943","Air Force"
"11","1944","Wilson"
"12","1945","National Velvet"
"13","1946","The Best Years of Our Lives"
"14","1947","Body and Soul"
"15","1948","The Naked City"
"16","1949","Champion"
"17","1950","King Solomon's Mines"
"18","1951","A Place in the Sun"
"19","1952","High Noon"
"20","1953","From Here to Eternity"
"21","1954","On the Waterfront"
"22","1955","Picnic"
"23","1956","Around the World in 80 Days"
"24","1957","The Bridge on the River Kwai"
"25","1958","Gigi"
"26","1959","Ben-Hur"
"27","1960","The Apartment"
"28","1961","West Side Story"
"29","1962","Lawrence of Arabia"
"30","1963","How the West Was Won"
"31","1964","Mary Poppins"
"32","1965","The Sound of Music"
"33","1966","Grand Prix"
"34","1967","In the Heat of the Night"
"35","1968","Bullitt"
"36","1969","Z"
"37","1970","Patton"
"38","1971","The French Connection"
"39","1972","Cabaret"
"40","1973","The Sting"
"41","1974","The Towering Inferno"
"42","1975","Jaws"
"43","1976","Rocky"
"44","1977","Star Wars"
"45","1978","The Deer Hunter"
"46","1979","All That Jazz"
"47","1980","Raging Bull"
"48","1981","Raiders of the Lost Ark"
"49","1982","Gandhi"
"50","1983","The Right Stuff"
"51","1984","The Killing Fields"
"52","1985","Witness"
"53","1986","Platoon"
"54","1987","The Last Emperor"
"55","1988","Who Framed Roger Rabbit"
"56","1989","Born on the Fourth of July"
"57","1990","Dances With Wolves"
"58","1991","JFK"
"59","1992","Unforgiven"
"60","1993","Schindler's List"
"61","1994","Forrest Gump"
"62","1995","Apollo 13"
"63","1996","The English Patient"
"64","1997","Titanic"
"65","1998","Saving Private Ryan"
"66","1999","The Matrix"
"67","2000","Traffic"
"68","2001","Black Hawk Down"
"69","2002","Chicago"
"70","2003","The Lord of the Rings: The Return of the King"
"71","2004","The Aviator"
"72","2005","Crash"
"73","2006","The Departed"
"74","2007","The Bourne Ultimatum"
"75","2008","Slumdog Millionaire"
"76","2009","The Hurt Locker"
"77","2010","The Social Network"
"78","2011","The Girl with the Dragon Tattoo"
"79","2012","Argo"
"80","2013","Gravity"
"81","2014","Whiplash"
