"","Year","Best_Editing","Best_Picture"
"1","1934","Eskimo","It Happened One Night"
"2","1935","A Midsummer Night's Dream","Mutiny on the Bounty"
"3","1936","Anthony Adverse","The Great Ziegfeld"
"4","1937","Lost Horizon","The Life of Emile Zola"
"5","1938","The Adventures of Robin Hood","You Can't Take It with You"
"6","1939","Gone with the Wind","Gone with the Wind"
"7","1940","North West Mounted Police","Rebecca"
"8","1941","Sergeant York","How Green Was My Valley"
"9","1942","The Pride of the Yankees","Mrs. Miniver"
"10","1943","Air Force","Casablanca"
"11","1944","Wilson","Going My Way"
"12","1945","National Velvet","The Lost Weekend"
"13","1946","The Best Years of Our Lives","The Best Years of Our Lives"
"14","1947","Body and Soul","Gentleman's Agreement"
"15","1948","The Naked City","Hamlet"
"16","1949","Champion","All the King's Men"
"17","1950","King Solomon's Mines","All about Eve"
"18","1951","A Place in the Sun","An American in Paris"
"19","1952","High Noon","The Greatest Show on Earth"
"20","1953","From Here to Eternity","From Here to Eternity"
"21","1954","On the Waterfront","On the Waterfront"
"22","1955","Picnic","Marty"
"23","1956","Around the World in 80 Days","Around the World in 80 Days"
"24","1957","The Bridge on the River Kwai","The Bridge on the River Kwai"
"25","1958","Gigi","Gigi"
"26","1959","Ben-Hur","Ben-Hur"
"27","1960","The Apartment","The Apartment"
"28","1961","West Side Story","West Side Story"
"29","1962","Lawrence of Arabia","Lawrence of Arabia"
"30","1963","How the West Was Won","Tom Jones"
"31","1964","Mary Poppins","My Fair Lady"
"32","1965","The Sound of Music","The Sound of Music"
"33","1966","Grand Prix","A Man for All Seasons"
"34","1967","In the Heat of the Night","In the Heat of the Night"
"35","1968","Bullitt","Oliver!"
"36","1969","Z","Midnight Cowboy"
"37","1970","Patton","Patton"
"38","1971","The French Connection","The French Connection"
"39","1972","Cabaret","The Godfather"
"40","1973","The Sting","The Sting"
"41","1974","The Towering Inferno","The Godfather Part II"
"42","1975","Jaws","One Flew over the Cuckoo's Nest"
"43","1976","Rocky","Rocky"
"44","1977","Star Wars","Annie Hall"
"45","1978","The Deer Hunter","The Deer Hunter"
"46","1979","All That Jazz","Kramer vs. Kramer"
"47","1980","Raging Bull","Ordinary People"
"48","1981","Raiders of the Lost Ark","Chariots of Fire"
"49","1982","Gandhi","Gandhi"
"50","1983","The Right Stuff","Terms of Endearment"
"51","1984","The Killing Fields","Amadeus"
"52","1985","Witness","Out of Africa"
"53","1986","Platoon","Platoon"
"54","1987","The Last Emperor","The Last Emperor"
"55","1988","Who Framed Roger Rabbit","Rain Man"
"56","1989","Born on the Fourth of July","Driving Miss Daisy"
"57","1990","Dances With Wolves","Dances With Wolves"
"58","1991","JFK","The Silence of the Lambs"
"59","1992","Unforgiven","Unforgiven"
"60","1993","Schindler's List","Schindler's List"
"61","1994","Forrest Gump","Forrest Gump"
"62","1995","Apollo 13","Braveheart"
"63","1996","The English Patient","The English Patient"
"64","1997","Titanic","Titanic"
"65","1998","Saving Private Ryan","Shakespeare in Love"
"66","1999","The Matrix","American Beauty"
"67","2000","Traffic","Gladiator"
"68","2001","Black Hawk Down","A Beautiful Mind"
"69","2002","Chicago","Chicago"
"70","2003","The Lord of the Rings: The Return of the King","The Lord of the Rings: The Return of the King"
"71","2004","The Aviator","Million Dollar Baby"
"72","2005","Crash","Crash"
"73","2006","The Departed","The Departed"
"74","2007","The Bourne Ultimatum","No Country for Old Men"
"75","2008","Slumdog Millionaire","Slumdog Millionaire"
"76","2009","The Hurt Locker","The Hurt Locker"
"77","2010","The Social Network","The King's Speech"
"78","2011","The Girl with the Dragon Tattoo","The Artist"
"79","2012","Argo","Argo"
"80","2013","Gravity","12 Years a Slave"
"81","2014","Whiplash","Birdman or (The Unexpected Virtue of Ignorance)"
