"","year","title"
"1",1934,"It Happened One Night"
"2",1935,"Mutiny on the Bounty"
"3",1936,"The Great Ziegfeld"
"4",1937,"The Life of Emile Zola"
"5",1938,"You Can't Take It with You"
"6",1939,"Gone with the Wind"
"7",1940,"Rebecca"
"8",1941,"How Green Was My Valley"
"9",1942,"Mrs. Miniver"
"10",1943,"Casablanca"
"11",1944,"Going My Way"
"12",1945,"The Lost Weekend"
"13",1946,"The Best Years of Our Lives"
"14",1947,"Gentleman's Agreement"
"15",1948,"Hamlet"
"16",1949,"All the King's Men"
"17",1950,"All about Eve"
"18",1951,"An American in Paris"
"19",1952,"The Greatest Show on Earth"
"20",1953,"From Here to Eternity"
"21",1954,"On the Waterfront"
"22",1955,"Marty"
"23",1956,"Around the World in 80 Days"
"24",1957,"The Bridge on the River Kwai"
"25",1958,"Gigi"
"26",1959,"Ben-Hur"
"27",1960,"The Apartment"
"28",1961,"West Side Story"
"29",1962,"Lawrence of Arabia"
"30",1963,"Tom Jones"
"31",1964,"My Fair Lady"
"32",1965,"The Sound of Music"
"33",1966,"A Man for All Seasons"
"34",1967,"In the Heat of the Night"
"35",1968,"Oliver!"
"36",1969,"Midnight Cowboy"
"37",1970,"Patton"
"38",1971,"The French Connection"
"39",1972,"The Godfather"
"40",1973,"The Sting"
"41",1974,"The Godfather Part II"
"42",1975,"One Flew over the Cuckoo's Nest"
"43",1976,"Rocky"
"44",1977,"Annie Hall"
"45",1978,"The Deer Hunter"
"46",1979,"Kramer vs. Kramer"
"47",1980,"Ordinary People"
"48",1981,"Chariots of Fire"
"49",1982,"Gandhi"
"50",1983,"Terms of Endearment"
"51",1984,"Amadeus"
"52",1985,"Out of Africa"
"53",1986,"Platoon"
"54",1987,"The Last Emperor"
"55",1988,"Rain Man"
"56",1989,"Driving Miss Daisy"
"57",1990,"Dances With Wolves"
"58",1991,"The Silence of the Lambs"
"59",1992,"Unforgiven"
"60",1993,"Schindler's List"
"61",1994,"Forrest Gump"
"62",1995,"Braveheart"
"63",1996,"The English Patient"
"64",1997,"Titanic"
"65",1998,"Shakespeare in Love"
"66",1999,"American Beauty"
"67",2000,"Gladiator"
"68",2001,"A Beautiful Mind"
"69",2002,"Chicago"
"70",2003,"The Lord of the Rings: The Return of the King"
"71",2004,"Million Dollar Baby"
"72",2005,"Crash"
"73",2006,"The Departed"
"74",2007,"No Country for Old Men"
"75",2008,"Slumdog Millionaire"
"76",2009,"The Hurt Locker"
"77",2010,"The King's Speech"
"78",2011,"The Artist"
"79",2012,"Argo"
"80",2013,"12 Years a Slave"
"81",2014,"Birdman or (The Unexpected Virtue of Ignorance)"
