"","Year","Award","Winner","Nominee"
"1","2010 ","Actor -- Leading Role","NO","Biutiful "
"2","2010 ","Actor -- Leading Role","NO","True Grit "
"3","2010 ","Actor -- Leading Role","NO","The Social Network "
"4","2010 ","Actor -- Leading Role","YES","The King's Speech "
"5","2010 ","Actor -- Leading Role","NO","127 Hours "
"6","2010 ","Actor -- Supporting Role","YES","The Fighter "
"7","2010 ","Actor -- Supporting Role","NO","Winter's Bone "
"8","2010 ","Actor -- Supporting Role","NO","The Town "
"9","2010 ","Actor -- Supporting Role","NO","The Kids Are All Right "
"10","2010 ","Actor -- Supporting Role","NO","The King's Speech "
"11","2010 ","Actress -- Leading Role","NO","The Kids Are All Right "
"12","2010 ","Actress -- Leading Role","NO","Rabbit Hole "
"13","2010 ","Actress -- Leading Role","NO","Winter's Bone "
"14","2010 ","Actress -- Leading Role","YES","Black Swan "
"15","2010 ","Actress -- Leading Role","NO","Blue Valentine "
"16","2010 ","Actress -- Supporting Role","NO","The Fighter "
"17","2010 ","Actress -- Supporting Role","NO","The King's Speech "
"18","2010 ","Actress -- Supporting Role","YES","The Fighter "
"19","2010 ","Actress -- Supporting Role","NO","True Grit "
"20","2010 ","Actress -- Supporting Role","NO","Animal Kingdom "
"24","2010 ","Art Direction","YES","Alice in Wonderland"
"25","2010 ","Art Direction","NO","Harry Potter and the Deathly Hallows Part 1"
"26","2010 ","Art Direction","NO","Inception"
"27","2010 ","Art Direction","NO","The King's Speech"
"28","2010 ","Art Direction","NO","True Grit"
"29","2010 ","Cinematography","NO","Black Swan"
"30","2010 ","Cinematography","YES","Inception"
"31","2010 ","Cinematography","NO","The King's Speech"
"32","2010 ","Cinematography","NO","The Social Network"
"33","2010 ","Cinematography","NO","True Grit"
"34","2010 ","Costume Design","YES","Alice in Wonderland"
"35","2010 ","Costume Design","NO","I Am Love"
"36","2010 ","Costume Design","NO","The King's Speech"
"37","2010 ","Costume Design","NO","The Tempest"
"38","2010 ","Costume Design","NO","True Grit"
"39","2010 ","Directing","NO","Black Swan"
"40","2010 ","Directing","NO","The Fighter"
"41","2010 ","Directing","YES","The King's Speech"
"42","2010 ","Directing","NO","The Social Network"
"43","2010 ","Directing","NO","True Grit"
"54","2010 ","Film Editing","NO","Black Swan"
"55","2010 ","Film Editing","NO","The Fighter"
"56","2010 ","Film Editing","NO","The King's Speech"
"57","2010 ","Film Editing","NO","127 Hours"
"58","2010 ","Film Editing","YES","The Social Network"
"64","2010 ","Makeup","NO","Barney's Version"
"65","2010 ","Makeup","NO","The Way Back"
"66","2010 ","Makeup","YES","The Wolfman"
"67","2010 ","Music (Scoring)","NO","How to Train Your Dragon"
"68","2010 ","Music (Scoring)","NO","Inception"
"69","2010 ","Music (Scoring)","NO","The King's Speech"
"70","2010 ","Music (Scoring)","NO","127 Hours"
"71","2010 ","Music (Scoring)","YES","The Social Network"
"72","2010 ","Music (Song)","NO","Country Strong"
"73","2010 ","Music (Song)","NO","Tangled"
"74","2010 ","Music (Song)","NO","127 Hours"
"75","2010 ","Music (Song)","YES","Toy Story 3"
"76","2010 ","Best Picture","NO","Black Swan"
"77","2010 ","Best Picture","NO","The Fighter"
"78","2010 ","Best Picture","NO","Inception"
"79","2010 ","Best Picture","NO","The Kids Are All Right"
"80","2010 ","Best Picture","YES","The King's Speech"
"81","2010 ","Best Picture","NO","127 Hours"
"82","2010 ","Best Picture","NO","The Social Network"
"83","2010 ","Best Picture","NO","Toy Story 3"
"84","2010 ","Best Picture","NO","True Grit"
"85","2010 ","Best Picture","NO","Winter's Bone"
"96","2010 ","Sound","YES","Inception"
"97","2010 ","Sound","NO","The King's Speech"
"98","2010 ","Sound","NO","Salt"
"99","2010 ","Sound","NO","The Social Network"
"100","2010 ","Sound","NO","True Grit"
"101","2010 ","Sound Editing","YES","Inception"
"102","2010 ","Sound Editing","NO","Toy Story 3"
"103","2010 ","Sound Editing","NO","Tron: Legacy"
"104","2010 ","Sound Editing","NO","True Grit"
"105","2010 ","Sound Editing","NO","Unstoppable"
"106","2010 ","Visual Effects","NO","Alice in Wonderland"
"107","2010 ","Visual Effects","NO","Harry Potter and the Deathly Hallows Part 1"
"108","2010 ","Visual Effects","NO","Hereafter"
"109","2010 ","Visual Effects","YES","Inception"
"110","2010 ","Visual Effects","NO","Iron Man 2"
"111","2010 ","Writing","NO","127 Hours"
"112","2010 ","Writing","YES","The Social Network"
"113","2010 ","Writing","NO","Toy Story 3"
"114","2010 ","Writing","NO","True Grit"
"115","2010 ","Writing","NO","Winter's Bone"
"116","2010 ","Writing","NO","Another Year"
"117","2010 ","Writing","NO","The Fighter"
"118","2010 ","Writing","NO","Inception"
"119","2010 ","Writing","NO","The Kids Are All Right"
"120","2010 ","Writing","YES","The King's Speech"
"136","2009 ","Actor -- Leading Role","YES","Crazy Heart "
"137","2009 ","Actor -- Leading Role","NO","Up in the Air "
"138","2009 ","Actor -- Leading Role","NO","A Single Man "
"139","2009 ","Actor -- Leading Role","NO","Invictus "
"140","2009 ","Actor -- Leading Role","NO","The Hurt Locker "
"141","2009 ","Actor -- Supporting Role","NO","Invictus "
"142","2009 ","Actor -- Supporting Role","NO","The Messenger "
"143","2009 ","Actor -- Supporting Role","NO","The Last Station "
"144","2009 ","Actor -- Supporting Role","NO","The Lovely Bones "
"145","2009 ","Actor -- Supporting Role","YES","Inglourious Basterds "
"146","2009 ","Actress -- Leading Role","YES","The Blind Side "
"147","2009 ","Actress -- Leading Role","NO","The Last Station "
"148","2009 ","Actress -- Leading Role","NO","An Education "
"149","2009 ","Actress -- Leading Role","NO","Precious: Based on the Novel 'Push' by Sapphire "
"150","2009 ","Actress -- Leading Role","NO","Julie & Julia "
"151","2009 ","Actress -- Supporting Role","NO","Nine "
"152","2009 ","Actress -- Supporting Role","NO","Up in the Air "
"153","2009 ","Actress -- Supporting Role","NO","Crazy Heart "
"154","2009 ","Actress -- Supporting Role","NO","Up in the Air "
"155","2009 ","Actress -- Supporting Role","YES","Precious: Based on the Novel 'Push' by Sapphire "
"161","2009 ","Art Direction","YES","Avatar"
"162","2009 ","Art Direction","NO","The Imaginarium of Doctor Parnassus"
"163","2009 ","Art Direction","NO","Nine"
"164","2009 ","Art Direction","NO","Sherlock Holmes"
"165","2009 ","Art Direction","NO","The Young Victoria"
"166","2009 ","Cinematography","YES","Avatar"
"167","2009 ","Cinematography","NO","Harry Potter and the Half-Blood Prince"
"168","2009 ","Cinematography","NO","The Hurt Locker"
"169","2009 ","Cinematography","NO","Inglourious Basterds"
"170","2009 ","Cinematography","NO","The White Ribbon"
"171","2009 ","Costume Design","NO","Bright Star"
"172","2009 ","Costume Design","NO","Coco before Chanel"
"173","2009 ","Costume Design","NO","The Imaginarium of Doctor Parnassus"
"174","2009 ","Costume Design","NO","Nine"
"175","2009 ","Costume Design","YES","The Young Victoria"
"176","2009 ","Directing","NO","Avatar"
"177","2009 ","Directing","YES","The Hurt Locker"
"178","2009 ","Directing","NO","Inglourious Basterds"
"179","2009 ","Directing","NO","Precious: Based on the Novel 'Push' by Sapphire"
"180","2009 ","Directing","NO","Up in the Air"
"191","2009 ","Film Editing","NO","Avatar"
"192","2009 ","Film Editing","NO","District 9"
"193","2009 ","Film Editing","YES","The Hurt Locker"
"194","2009 ","Film Editing","NO","Inglourious Basterds"
"195","2009 ","Film Editing","NO","Precious: Based on the Novel 'Push' by Sapphire"
"201","2009 ","Makeup","NO","Il Divo"
"202","2009 ","Makeup","YES","Star Trek"
"203","2009 ","Makeup","NO","The Young Victoria"
"204","2009 ","Music (Scoring)","NO","Avatar"
"205","2009 ","Music (Scoring)","NO","Fantastic Mr. Fox"
"206","2009 ","Music (Scoring)","NO","The Hurt Locker"
"207","2009 ","Music (Scoring)","NO","Sherlock Holmes"
"208","2009 ","Music (Scoring)","YES","Up"
"209","2009 ","Music (Song)","NO","The Princess and the Frog"
"210","2009 ","Music (Song)","NO","The Princess and the Frog"
"211","2009 ","Music (Song)","NO","Paris 36"
"212","2009 ","Music (Song)","NO","Nine"
"213","2009 ","Music (Song)","YES","Crazy Heart"
"214","2009 ","Best Picture","NO","Avatar"
"215","2009 ","Best Picture","NO","The Blind Side"
"216","2009 ","Best Picture","NO","District 9"
"217","2009 ","Best Picture","NO","An Education"
"218","2009 ","Best Picture","YES","The Hurt Locker"
"219","2009 ","Best Picture","NO","Inglourious Basterds"
"220","2009 ","Best Picture","NO","Precious: Based on the Novel 'Push' by Sapphire"
"221","2009 ","Best Picture","NO","A Serious Man"
"222","2009 ","Best Picture","NO","Up"
"223","2009 ","Best Picture","NO","Up in the Air"
"234","2009 ","Sound","NO","Avatar"
"235","2009 ","Sound","YES","The Hurt Locker"
"236","2009 ","Sound","NO","Inglourious Basterds"
"237","2009 ","Sound","NO","Star Trek"
"238","2009 ","Sound","NO","Transformers: Revenge of the Fallen"
"239","2009 ","Sound Editing","NO","Avatar"
"240","2009 ","Sound Editing","YES","The Hurt Locker"
"241","2009 ","Sound Editing","NO","Inglourious Basterds"
"242","2009 ","Sound Editing","NO","Star Trek"
"243","2009 ","Sound Editing","NO","Up"
"244","2009 ","Visual Effects","YES","Avatar"
"245","2009 ","Visual Effects","NO","District 9"
"246","2009 ","Visual Effects","NO","Star Trek"
"247","2009 ","Writing","NO","District 9"
"248","2009 ","Writing","NO","An Education"
"249","2009 ","Writing","NO","In the Loop"
"250","2009 ","Writing","YES","Precious: Based on the Novel 'Push' by Sapphire"
"251","2009 ","Writing","NO","Up in the Air"
"252","2009 ","Writing","YES","The Hurt Locker"
"253","2009 ","Writing","NO","Inglourious Basterds"
"254","2009 ","Writing","NO","The Messenger"
"255","2009 ","Writing","NO","A Serious Man"
"256","2009 ","Writing","NO","Up"
"276","2008 ","Actor -- Leading Role","NO","The Visitor "
"277","2008 ","Actor -- Leading Role","NO","Frost/Nixon "
"278","2008 ","Actor -- Leading Role","YES","Milk "
"279","2008 ","Actor -- Leading Role","NO","The Curious Case of Benjamin Button "
"280","2008 ","Actor -- Leading Role","NO","The Wrestler "
"281","2008 ","Actor -- Supporting Role","NO","Milk "
"282","2008 ","Actor -- Supporting Role","NO","Tropic Thunder "
"283","2008 ","Actor -- Supporting Role","NO","Doubt "
"284","2008 ","Actor -- Supporting Role","YES","The Dark Knight "
"285","2008 ","Actor -- Supporting Role","NO","Revolutionary Road "
"286","2008 ","Actress -- Leading Role","NO","Rachel Getting Married "
"287","2008 ","Actress -- Leading Role","NO","Changeling "
"288","2008 ","Actress -- Leading Role","NO","Frozen River "
"289","2008 ","Actress -- Leading Role","NO","Doubt "
"290","2008 ","Actress -- Leading Role","YES","The Reader "
"291","2008 ","Actress -- Supporting Role","NO","Doubt "
"292","2008 ","Actress -- Supporting Role","YES","Vicky Cristina Barcelona "
"293","2008 ","Actress -- Supporting Role","NO","Doubt "
"294","2008 ","Actress -- Supporting Role","NO","The Curious Case of Benjamin Button "
"295","2008 ","Actress -- Supporting Role","NO","The Wrestler "
"299","2008 ","Art Direction","NO","Changeling"
"300","2008 ","Art Direction","YES","The Curious Case of Benjamin Button"
"301","2008 ","Art Direction","NO","The Dark Knight"
"302","2008 ","Art Direction","NO","The Duchess"
"303","2008 ","Art Direction","NO","Revolutionary Road"
"304","2008 ","Cinematography","NO","Changeling"
"305","2008 ","Cinematography","NO","The Curious Case of Benjamin Button"
"306","2008 ","Cinematography","NO","The Dark Knight"
"307","2008 ","Cinematography","NO","The Reader"
"308","2008 ","Cinematography","YES","Slumdog Millionaire"
"309","2008 ","Costume Design","NO","Australia"
"310","2008 ","Costume Design","NO","The Curious Case of Benjamin Button"
"311","2008 ","Costume Design","YES","The Duchess"
