"","Year","pictures","Best_Picture","Best_Editing","Best_Directing","Best_Actor","Best_Supporting_Actor","Best_Actress","Best_Supporting_Actress","Best_Sound","Best_Song"
"1",1934,"Eskimo","0","1","0","0","0","0","0","0","0"
"2",1934,"It Happened One Night","1","0","1","1","0","1","0","0","0"
"3",1934,"One Night of Love","0","0","0","0","0","0","0","1","0"
"4",1934,"The Gay Divorcee","0","0","0","0","0","0","0","0","1"
"5",1935,"A Midsummer Night's Dream","0","1","0","0","0","0","0","0","0"
"6",1935,"Dangerous","0","0","0","0","0","1","0","0","0"
"7",1935,"Gold Diggers of 1935","0","0","0","0","0","0","0","0","1"
"8",1935,"Mutiny on the Bounty","1","0","0","0","0","0","0","0","0"
"9",1935,"Naughty Marietta","0","0","0","0","0","0","0","1","0"
"10",1935,"The Informer","0","0","1","1","0","0","0","0","0"
"11",1936,"Anthony Adverse","0","1","0","0","0","0","1","0","0"
"12",1936,"Come and Get It","0","0","0","0","1","0","0","0","0"
"13",1936,"Mr. Deeds Goes to Town","0","0","1","0","0","0","0","0","0"
"14",1936,"San Francisco","0","0","0","0","0","0","0","1","0"
"15",1936,"Swing Time","0","0","0","0","0","0","0","0","1"
"16",1936,"The Great Ziegfeld","1","0","0","0","0","1","0","0","0"
"17",1936,"The Story of Louis Pasteur","0","0","0","1","0","0","0","0","0"
"18",1937,"Captains Courageous","0","0","0","1","0","0","0","0","0"
"19",1937,"In Old Chicago","0","0","0","0","0","0","1","0","0"
"20",1937,"Lost Horizon","0","1","0","0","0","0","0","0","0"
"21",1937,"The Awful Truth","0","0","1","0","0","0","0","0","0"
"22",1937,"The Good Earth","0","0","0","0","0","1","0","0","0"
"23",1937,"The Hurricane","0","0","0","0","0","0","0","1","0"
"24",1937,"The Life of Emile Zola","1","0","0","0","1","0","0","0","0"
"25",1937,"Waikiki Wedding","0","0","0","0","0","0","0","0","1"
"26",1938,"Boys Town","0","0","0","1","0","0","0","0","0"
"27",1938,"Jezebel","0","0","0","0","0","1","1","0","0"
"28",1938,"Kentucky","0","0","0","0","1","0","0","0","0"
"29",1938,"The Adventures of Robin Hood","0","1","0","0","0","0","0","0","0"
"30",1938,"The Big Broadcast of 1938","0","0","0","0","0","0","0","0","1"
"31",1938,"The Cowboy and the Lady","0","0","0","0","0","0","0","1","0"
"32",1938,"You Can't Take It with You","1","0","1","0","0","0","0","0","0"
"33",1939,"Gone with the Wind","1","1","1","0","0","1","1","0","0"
"34",1939,"Goodbye, Mr. Chips","0","0","0","1","0","0","0","0","0"
"35",1939,"Stagecoach","0","0","0","0","1","0","0","0","0"
"36",1939,"The Wizard of Oz","0","0","0","0","0","0","0","0","1"
"37",1939,"When Tomorrow Comes","0","0","0","0","0","0","0","1","0"
"38",1940,"Kitty Foyle","0","0","0","0","0","1","0","0","0"
"39",1940,"North West Mounted Police","0","1","0","0","0","0","0","0","0"
"40",1940,"Pinocchio","0","0","0","0","0","0","0","0","1"
"41",1940,"Rebecca","1","0","0","0","0","0","0","0","0"
"42",1940,"Strike Up the Band","0","0","0","0","0","0","0","1","0"
"43",1940,"The Grapes of Wrath","0","0","1","0","0","0","1","0","0"
"44",1940,"The Philadelphia Story","0","0","0","1","0","0","0","0","0"
"45",1940,"The Westerner","0","0","0","0","1","0","0","0","0"
"46",1941,"How Green Was My Valley","1","0","1","0","1","0","0","0","0"
"47",1941,"Lady Be Good","0","0","0","0","0","0","0","0","1"
"48",1941,"Sergeant York","0","1","0","1","0","0","0","0","0"
"49",1941,"Suspicion","0","0","0","0","0","1","0","0","0"
"50",1941,"That Hamilton Woman","0","0","0","0","0","0","0","1","0"
"51",1941,"The Great Lie","0","0","0","0","0","0","1","0","0"
"52",1942,"Holiday Inn","0","0","0","0","0","0","0","0","1"
"53",1942,"Johnny Eager","0","0","0","0","1","0","0","0","0"
"54",1942,"Mrs. Miniver","1","0","1","0","0","1","1","0","0"
"55",1942,"The Pride of the Yankees","0","1","0","0","0","0","0","0","0"
"56",1942,"Yankee Doodle Dandy","0","0","0","1","0","0","0","1","0"
"57",1943,"Air Force","0","1","0","0","0","0","0","0","0"
"58",1943,"Casablanca","1","0","1","0","0","0","0","0","0"
"59",1943,"For Whom the Bell Tolls","0","0","0","0","0","0","1","0","0"
"60",1943,"Hello, Frisco, Hello","0","0","0","0","0","0","0","0","1"
"61",1943,"The More the Merrier","0","0","0","0","1","0","0","0","0"
"62",1943,"The Song of Bernadette","0","0","0","0","0","1","0","0","0"
"63",1943,"This Land Is Mine","0","0","0","0","0","0","0","1","0"
"64",1943,"Watch on the Rhine","0","0","0","1","0","0","0","0","0"
"65",1944,"Gaslight","0","0","0","0","0","1","0","0","0"
"66",1944,"Going My Way","1","0","1","1","1","0","0","0","1"
"67",1944,"None but the Lonely Heart","0","0","0","0","0","0","1","0","0"
"68",1944,"Wilson","0","1","0","0","0","0","0","1","0"
"69",1945,"A Tree Grows in Brooklyn","0","0","0","0","1","0","0","0","0"
"70",1945,"Mildred Pierce","0","0","0","0","0","1","0","0","0"
"71",1945,"National Velvet","0","1","0","0","0","0","1","0","0"
