"","Year","dblwinner","best_picture","pictures"
"1",1950,0,1,"Bicycle Thieves"
"2",1951,0,1,"All About Eve"
"3",1952,0,1,"La Ronde"
"4",1953,0,1,"The Sound Barrier"
"5",1954,0,1,"Forbidden Games"
"6",1955,0,1,"The Wages of Fear"
"7",1956,0,1,"Richard III"
"8",1957,0,1,"Gervaise"
"9",1958,0,1,"The Bridge on the River Kwai"
"10",1959,0,1,"Room at the Top"
"11",1960,0,1,"Ben-Hur"
"12",1961,0,1,"The Apartment"
"13",1962,1,1,"Ballad of a Soldier"
"14",1963,0,1,"Lawrence of Arabia"
"15",1964,0,1,"Tom Jones"
"16",1965,0,1,"Dr. Strangelove"
"17",1966,0,1,"My Fair Lady"
"18",1967,0,1,"Who's Afraid of Virginia Woolf"
"19",1968,0,1,"A Man for All Seasons"
"20",1969,0,1,"The Graduate"
"21",1970,0,1,"Midnight Cowboy"
"22",1971,0,1,"Butch Cassidy and the Sundance Kid"
"23",1972,0,1,"Sunday Bloody Sunday"
"24",1973,0,1,"Cabaret"
"25",1974,0,1,"Day for Night"
"26",1975,0,1,"Lacombe Lucien"
"27",1976,0,1,"Alice Doesn't Live Here Anymore"
"28",1977,0,1,"One Flew Over the Cuckoo's Nest"
"29",1978,0,1,"Annie Hall"
"30",1979,0,1,"Julia"
"31",1980,0,1,"Manhattan"
"32",1981,0,1,"The Elephant Man"
"33",1982,0,1,"Chariots of Fire"
"34",1983,0,1,"Gandhi"
"35",1984,0,1,"Educating Rita"
"36",1985,0,1,"The Killing Fields"
"37",1986,0,1,"The Purple Rose of Cairo"
"38",1987,0,1,"A Room with a View"
"39",1988,0,1,"Jean de Florette"
"40",1989,0,1,"The Last Emperor"
"41",1990,0,1,"Dead Poets Society"
"42",1991,0,1,"Goodfellas"
"43",1992,0,1,"The Commitments"
"44",1993,0,1,"Howards End"
"45",1994,0,1,"Schindler's List"
"46",1995,0,1,"Four Weddings and a Funeral"
"47",1996,0,1,"Sense and Sensibility"
"48",1997,0,1,"The English Patient"
"49",1998,0,1,"The Full Monty"
"50",1999,0,1,"Shakespeare in Love"
"51",2000,0,1,"American Beauty"
"52",2001,0,1,"Gladiator"
"53",2002,0,1,"The Lord of the Rings: The Fellowship of the Ring"
"54",2003,0,1,"The Pianist"
"55",2004,0,1,"The Lord of the Rings: The Return of the King"
"56",2005,0,1,"The Aviator"
"57",2006,0,1,"Brokeback Mountain"
"58",2007,0,1,"The Queen"
"59",2008,0,1,"Atonement"
"60",2009,0,1,"Slumdog Millionaire"
"61",2010,0,1,"The Hurt Locker"
"62",2011,0,1,"The Kings Speech"
"63",2012,0,1,"The Artist"
"64",2013,0,1,"Argo"
"65",2014,0,1,"12 Years a Slave"
"66",2015,0,1,"Boyhood"
"67",1962,1,1,"The Hustler"
