"","Year","Nominee","actor in a leading role","actor in a supporting role","actress in a leading role","actress in a supporting role","art direction","best picture","cinematography","costume design","directing","film editing","makeup","music (score)","music (song)","sound editing","sound mixing","visual effects","writing","writing (adapted screenplay)","writing (original screenplay)"
"1","1934","Cleopatra","0","0","0","0","0","2","1","0","0","2","0","0","0","0","2","0","0","0","0"
"2","1934","Eskimo","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"3","1934","Flirtation Walk","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0"
"4","1934","Flying Down to Rio","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"5","1934","Here Comes the Navy","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1934","Hide-Out","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"7","1934","Imitation of Life","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0"
"8","1934","It Happened One Night","1","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"9","1934","Manhattan Melodrama","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"10","1934","Of Human Bondage","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","1934","One Night of Love","0","0","2","0","0","2","0","0","2","2","0","1","0","0","1","0","0","0","0"
"12","1934","Operator 13","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"13","1934","She Loves Me Not","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"14","1934","The Affairs of Cellini","2","0","0","0","2","0","2","0","0","0","0","0","0","0","2","0","0","0","0"
"15","1934","The Barretts of Wimpole Street","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","1934","The Gay Divorcee","0","0","0","0","2","2","0","0","0","0","0","2","1","0","2","0","0","0","0"
"17","1934","The House of Rothschild","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","1934","The Lost Patrol","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"19","1934","The Merry Widow","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","1934","The Richest Girl in the World","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"21","1934","The Thin Man","2","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","2","0","0"
"22","1934","The White Parade","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0"
"23","1934","Viva Villa!","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","2","0","0"
"24","1935","$1,000 a Minute","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"25","1935","A Midsummer Night's Dream","0","0","0","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0"
"26","1935","Alice Adams","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","1935","Barbary Coast","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"28","1935","Becky Sharp","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","1935","Black Fury","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","1935","Bride of Frankenstein","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"31","1935","Broadway Melody of 1936","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0"
"32","1935","Captain Blood","0","0","0","0","0","2","0","0","2","0","0","2","0","0","2","0","2","0","0"
