"","year","movie","best_actor","best_actress","best_film","best_cinematography","best_director","best_editing"
"1","1996","Fargo","0","1","1","0","1","0"
"2","1996","Hamlet","1","0","0","0","0","0"
"3","1997","As Good as It Gets","1","0","0","0","0","0"
"4","1997","Jackie Brown","0","1","0","0","0","0"
"5","1997","L.A. Confidential","0","0","1","0","1","0"
"6","1998","Gods and Monsters","1","0","1","0","1","0"
"7","1998","Stepmom","0","1","0","0","0","0"
"8","1999","American Beauty","1","1","1","0","1","0"
"9","2000","Almost Famous","0","0","1","0","1","0"
"10","2000","Gladiator","1","0","0","1","0","0"
"11","2000 ","You Can Count on Me","0","1","0","0","0","0"
"12","2001","Ghost World","0","1","1","0","1","0"
"13","2001","Memento","1","0","0","0","0","0"
"14","2001","The Man Who Wasn't There","0","0","0","1","0","0"
"15","2002","Far from Heaven","0","1","1","0","1","0"
"16","2002","Gangs of New York","1","0","0","0","0","0"
"17","2002","Road to Perdition","0","0","0","1","0","0"
"18","2002","Thirteen Conversations About One Thing","0","0","0","0","0","1"
"19","2003","21 Grams","0","1","0","0","0","0"
"20","2003","Dirty Pretty Things","1","0","1","0","1","0"
"21","2003","Girl with a Pearl Earring","0","0","0","1","0","0"
"22","2003","Kill Bill: Volume 1","0","0","0","0","0","1"
"23","2004","Eternal Sunshine of the Spotless Mind","1","0","0","0","0","1"
"24","2004","Hero (Ying xiong)","0","0","0","1","0","0"
"25","2004","The Phantom of the Opera","0","0","0","1","0","0"
"26","2004","Vera Drake","0","1","1","0","1","0"
"27","2005","A History of Violence","0","0","0","0","0","1"
"28","2005","Capote","1","0","0","0","0","0"
"29","2005","King Kong","0","0","1","0","1","0"
"30","2005","The New World","0","0","0","1","0","0"
"31","2005","The Upside of Anger","0","1","0","0","0","0"
"32","2006","Letters from Iwo Jima","0","0","1","0","1","0"
"33","2006","Riding Alone for Thousands of Miles (Qian li zou dan qi)","1","0","0","0","0","0"
"34","2006","The Illusionist","0","0","0","1","0","0"
"35","2006","The Queen","0","1","0","0","0","0"
"36","2006","United 93","0","0","0","0","0","1"
"37","2007","Atonement","0","0","0","0","0","1"
"38","2007","Away from Her","0","1","0","0","0","0"
"39","2007","No Country for Old Men","0","0","1","1","1","0"
"40","2007","There Will Be Blood","1","0","0","0","0","0"
"41","2008","Slumdog Millionaire","0","0","1","1","1","1"
"42","2008","The Reader","0","1","0","0","0","0"
"43","2008","The Wrestler","1","0","0","0","0","0"
"44","2009","(500) Days of Summer","0","0","0","0","0","1"
"45","2009","A Single Man","1","0","0","0","0","0"
"46","2009","Inglourious Basterds","0","0","1","0","1","0"
"47","2009","The Road","0","0","0","1","0","0"
"48","2009","Trucker","0","1","0","0","0","0"
"49","2010","Inception","0","0","0","1","0","0"
"50","2010","Ondine","1","0","0","0","0","0"
"51","2010","Scott Pilgrim vs. the World","0","0","0","0","0","1"
"52","2010","Winter's Bone","0","1","1","0","1","0"
"53","2011","Another Earth","0","1","0","0","0","0"
"54","2011","Beginners","0","0","0","0","0","1"
"55","2011","Take Shelter","1","0","0","0","0","0"
"56","2011","The Artist","0","0","1","0","1","0"
"57","2011","The Tree of Life","0","0","0","1","0","0"
"58","2012","Argo","0","0","1","0","1","1"
"59","2012","Life of Pi","0","0","0","1","0","0"
"60","2012","Lincoln","1","0","0","0","0","0"
"61","2012","Take This Waltz","0","1","0","0","0","0"
"62","2013","Blue Jasmine","0","1","0","0","0","0"
"63","2013","Captain Phillips","0","0","0","0","0","1"
"64","2013","Her","0","0","1","0","1","0"
"65","2013","Inside Llewyn Davis","1","0","0","0","0","0"
"66","2013","To the Wonder","0","0","0","1","0","0"
"67","2014","Edge of Tomorrow","0","0","0","0","0","1"
"68","2014","Nightcrawler","1","0","1","1","1","0"
"69","2014","Two Days, One Night","0","1","0","0","0","0"
